BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	host_age_s	isolate_s	serotype_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	collected_by_s	collection_date_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	host_disease_s	isolation_source_s	lat_lon_s	source_s
SAMN03765106	SRX1067482	2014202869	2015-06-22	412	209	2016-03-18	SRR2072358	SRS967256	2014202869	2	183	35F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764967	SRX1067483	2014202885	2015-06-22	122	62	2016-03-18	SRR2072359	SRS967255	2014202885	2	44	10A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765060	SRX1067335	2013211370	2015-06-22	362	181	2016-03-18	SRR2072211	SRS967399	2013211370	0	137	23B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765024	SRX1067336	2013212937	2015-06-22	530	319	2016-03-18	SRR2072212	SRS967398	2013212937	2	101	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765095	SRX1067337	2013213343	2015-06-22	268	139	2016-03-18	SRR2072213	SRS967397	2013213343	3	172	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764975	SRX1067338	2013213344	2015-06-22	135	65	2016-03-18	SRR2072214	SRS967396	2013213344	1	52	12F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765093	SRX1067339	2013213707	2015-06-22	277	164	2016-03-18	SRR2072215	SRS967395	2013213707	2	170	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765080	SRX1067340	2013213726	2015-06-22	743	446	2016-03-18	SRR2072216	SRS967394	2013213726	1	157	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764929	SRX1067341	2013213837	2015-06-22	764	457	2016-03-18	SRR2072217	SRS967393	2013213837	2	6	3	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764978	SRX1067342	2013213851	2015-06-22	547	254	2016-03-18	SRR2072218	SRS967392	2013213851	1	55	12F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764999	SRX1067343	2013213852	2015-06-22	14	7	2016-03-18	SRR2072219	SRS967391	2013213852	3	76	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765019	SRX1067344	2013213977	2015-06-22	641	383	2016-03-18	SRR2072220	SRS967390	2013213977	3	96	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765039	SRX1067345	2013214076	2015-06-22	846	524	2016-03-18	SRR2072221	SRS967389	2013214076	0	116	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765049	SRX1067393	2013219512	2015-06-22	273	139	2016-03-18	SRR2072269	SRS967343	2013219512	0	126	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764964	SRX1067394	2013219514	2015-06-22	287	145	2016-03-18	SRR2072270	SRS967342	2013219514	0	41	10A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765074	SRX1067395	2013219534	2015-06-22	522	245	2016-03-18	SRR2072271	SRS967341	2013219534	0	151	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765040	SRX1067397	2013219866	2015-06-22	367	192	2016-03-18	SRR2072273	SRS967340	2013219866	1	117	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764949	SRX1067398	2013220175	2015-06-22	315	162	2016-03-18	SRR2072274	SRS967339	2013220175	4	26	34	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765035	SRX1067399	2013220191	2015-06-22	182	88	2016-03-18	SRR2072275	SRS967338	2013220191	3	112	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765013	SRX1067400	2013221281	2015-06-22	321	164	2016-03-18	SRR2072276	SRS967337	2013221281	2	90	16F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765096	SRX1067401	2013221282	2015-06-22	298	148	2016-03-18	SRR2072277	SRS967336	2013221282	1	173	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764938	SRX1067402	2013221606	2015-06-22	491	254	2016-03-18	SRR2072278	SRS967335	2013221606	0	15	8	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765046	SRX1067403	2013221808	2015-06-22	139	66	2016-03-18	SRR2072279	SRS967334	2013221808	1	123	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765083	SRX1067404	2013221820	2015-06-22	1176	623	2016-03-18	SRR2072280	SRS967333	2013221820	0	160	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765027	SRX1067405	2013221965	2015-06-22	314	161	2016-03-18	SRR2072281	SRS967331	2013221965	0	104	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765103	SRX1067406	2013221978	2015-06-22	278	142	2016-03-18	SRR2072282	SRS967332	2013221978	3	180	35F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765044	SRX1067407	2013221993	2015-06-22	150	71	2016-03-18	SRR2072283	SRS967330	2013221993	2	121	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765067	SRX1067408	2013222011	2015-06-22	284	148	2016-03-18	SRR2072284	SRS967329	2013222011	1	144	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765104	SRX1067409	2013222025	2015-06-22	217	119	2016-03-18	SRR2072285	SRS967328	2013222025	1	181	35F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765003	SRX1067410	2013222043	2015-06-22	342	170	2016-03-18	SRR2072286	SRS967327	2013222043	2	80	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765082	SRX1067411	2013222062	2015-06-22	685	352	2016-03-18	SRR2072287	SRS967326	2013222062	1	159	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764947	SRX1067412	2013222074	2015-06-22	375	198	2016-03-18	SRR2072288	SRS967325	2013222074	0	24	34	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765063	SRX1067413	2013222075	2015-06-22	269	138	2016-03-18	SRR2072289	SRS967324	2013222075	4	140	23B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765094	SRX1067414	2013222801	2015-06-22	191	112	2016-03-18	SRR2072290	SRS967323	2013222801	0	171	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764934	SRX1067415	2013222813	2015-06-22	356	213	2016-03-18	SRR2072291	SRS967322	2013222813	4	11	4	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765059	SRX1067416	2013222836	2015-06-22	216	134	2016-03-18	SRR2072292	SRS967321	2013222836	2	136	23B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764993	SRX1067417	2013222842	2015-06-22	714	425	2016-03-18	SRR2072293	SRS967320	2013222842	3	70	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765022	SRX1067418	2013223617	2015-06-22	143	74	2016-03-18	SRR2072294	SRS967319	2013223617	2	99	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764985	SRX1067419	2013223640	2015-06-22	375	192	2016-03-18	SRR2072295	SRS967317	2013223640	2	62	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764965	SRX1067420	2013223642	2015-06-22	411	210	2016-03-18	SRR2072296	SRS967318	2013223642	0	42	10A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765071	SRX1067421	2013224047	2015-06-22	320	165	2016-03-18	SRR2072297	SRS967316	2013224047	1	148	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764960	SRX1067422	2013224358	2015-06-22	343	164	2016-03-18	SRR2072298	SRS967315	2013224358	0	37	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764926	SRX1067423	2013224378	2015-06-22	114	54	2016-03-18	SRR2072299	SRS967314	2013224378	0	3	3	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764955	SRX1067424	2013224419	2015-06-22	584	356	2016-03-18	SRR2072300	SRS967313	2013224419	2	32	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765066	SRX1067425	2013224446	2015-06-22	594	363	2016-03-18	SRR2072301	SRS967312	2013224446	2	143	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765098	SRX1067426	2013224752	2015-06-22	984	505	2016-03-18	SRR2072302	SRS967311	2013224752	0	175	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764989	SRX1067427	2013224801	2015-06-22	619	338	2016-03-18	SRR2072303	SRS967309	2013224801	0	66	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764995	SRX1067428	2013224917	2015-06-22	881	467	2016-03-18	SRR2072304	SRS967310	2013224917	0	72	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765090	SRX1067429	2013224921	2015-06-22	317	164	2016-03-18	SRR2072305	SRS967308	2013224921	0	167	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764950	SRX1067430	2013226310	2015-06-22	186	89	2016-03-18	SRR2072306	SRS967306	2013226310	0	27	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765089	SRX1067431	2013226318	2015-06-22	199	93	2016-03-18	SRR2072307	SRS967307	2013226318	1	166	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765086	SRX1067432	2013226323	2015-06-22	148	70	2016-03-18	SRR2072308	SRS967305	2013226323	1	163	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765075	SRX1067433	2013226345	2015-06-22	297	143	2016-03-18	SRR2072309	SRS967304	2013226345	1	152	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765099	SRX1067434	2013226869	2015-06-22	214	115	2016-03-18	SRR2072310	SRS967303	2013226869	1	176	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765070	SRX1067435	2013226872	2015-06-22	136	71	2016-03-18	SRR2072311	SRS967302	2013226872	0	147	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765000	SRX1067436	2013227583	2015-06-22	346	180	2016-03-18	SRR2072312	SRS967301	2013227583	2	77	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764962	SRX1067437	2013227862	2015-06-22	156	93	2016-03-18	SRR2072313	SRS967300	2013227862	0	39	07F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764970	SRX1067438	2013227863	2015-06-22	159	94	2016-03-18	SRR2072314	SRS967299	2013227863	0	47	11A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764990	SRX1067439	2013228088	2015-06-22	567	273	2016-03-18	SRR2072315	SRS967298	2013228088	0	67	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764992	SRX1067440	2013228259	2015-06-22	265	127	2016-03-18	SRR2072316	SRS967297	2013228259	1	69	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765100	SRX1067441	2013228260	2015-06-22	264	133	2016-03-18	SRR2072317	SRS967296	2013228260	3	177	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765001	SRX1067442	2014200597	2015-06-22	256	129	2016-03-18	SRR2072318	SRS967295	2014200597	1	78	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765031	SRX1067443	2014200662	2015-06-22	444	273	2016-03-18	SRR2072319	SRS967294	2014200662	2	108	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764935	SRX1067444	2014200696	2015-06-22	230	139	2016-03-18	SRR2072320	SRS967293	2014200696	0	12	4	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764983	SRX1067445	2014200702	2015-06-22	689	413	2016-03-18	SRR2072321	SRS967292	2014200702	3	60	15A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764986	SRX1067446	2014200763	2015-06-22	208	126	2016-03-18	SRR2072322	SRS967291	2014200763	0	63	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765052	SRX1067447	2014200767	2015-06-22	496	305	2016-03-18	SRR2072323	SRS967289	2014200767	0	129	22F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764956	SRX1067448	2014200801	2015-06-22	473	286	2016-03-18	SRR2072324	SRS967290	2014200801	3	33	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764961	SRX1067449	2014200864	2015-06-22	184	95	2016-03-18	SRR2072325	SRS967288	2014200864	1	38	07C	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
